Date,Portfolio Return,Cumulative Return
2019-01-03,0.0,1.0
2019-01-04,0.0,1.0
2019-01-07,0.0,1.0
2019-01-08,0.0,1.0
2019-01-09,0.0,1.0
2019-01-10,0.0,1.0
2019-01-11,0.0,1.0
2019-01-14,0.0,1.0
2019-01-15,0.0,1.0
2019-01-16,0.0,1.0
2019-01-17,0.0,1.0
2019-01-18,0.0,1.0
2019-01-22,0.0,1.0
2019-01-23,0.0,1.0
2019-01-24,0.0,1.0
2019-01-25,0.0,1.0
2019-01-28,0.0,1.0
2019-01-29,0.0,1.0
2019-01-30,0.0,1.0
2019-01-31,0.0,1.0
2019-02-01,0.0,1.0
2019-02-04,0.0,1.0
2019-02-05,0.0,1.0
2019-02-06,0.0,1.0
2019-02-07,0.0,1.0
2019-02-08,0.0,1.0
2019-02-11,0.0,1.0
2019-02-12,0.0,1.0
2019-02-13,0.0,1.0
2019-02-14,0.0,1.0
2019-02-15,0.0,1.0
2019-02-19,0.0,1.0
2019-02-20,0.0,1.0
2019-02-21,0.0,1.0
2019-02-22,0.0,1.0
2019-02-25,0.0,1.0
2019-02-26,0.0,1.0
2019-02-27,0.0,1.0
2019-02-28,0.0,1.0
2019-03-01,0.0,1.0
2019-03-04,0.0,1.0
2019-03-05,0.0,1.0
2019-03-06,0.0,1.0
2019-03-07,0.0,1.0
2019-03-08,0.0,1.0
2019-03-11,0.0,1.0
2019-03-12,0.0,1.0
2019-03-13,0.0,1.0
2019-03-14,0.0,1.0
2019-03-15,0.0,1.0
2019-03-18,0.0,1.0
2019-03-19,0.0,1.0
2019-03-20,0.0,1.0
2019-03-21,0.0,1.0
2019-03-22,0.0,1.0
2019-03-25,0.0,1.0
2019-03-26,0.0,1.0
2019-03-27,0.0,1.0
2019-03-28,0.0,1.0
2019-03-29,0.0,1.0
2019-04-01,0.0,1.0
2019-04-02,0.0,1.0
2019-04-03,0.0,1.0
2019-04-04,0.0,1.0
2019-04-05,0.0,1.0
2019-04-08,0.0,1.0
2019-04-09,0.0,1.0
2019-04-10,0.0,1.0
2019-04-11,0.0,1.0
2019-04-12,0.0,1.0
2019-04-15,0.0,1.0
2019-04-16,0.0,1.0
2019-04-17,0.0,1.0
2019-04-18,0.0,1.0
2019-04-22,0.0,1.0
2019-04-23,0.0,1.0
2019-04-24,0.0,1.0
2019-04-25,0.0,1.0
2019-04-26,0.0,1.0
2019-04-29,0.0,1.0
2019-04-30,0.0,1.0
2019-05-01,0.0,1.0
2019-05-02,0.0,1.0
2019-05-03,0.0,1.0
2019-05-06,0.0,1.0
2019-05-07,0.0,1.0
2019-05-08,0.0,1.0
2019-05-09,0.0,1.0
2019-05-10,0.0,1.0
2019-05-13,0.0,1.0
2019-05-14,0.0,1.0
2019-05-15,0.0,1.0
2019-05-16,0.0,1.0
2019-05-17,0.0,1.0
2019-05-20,0.0,1.0
2019-05-21,0.0,1.0
2019-05-22,0.0,1.0
2019-05-23,0.0,1.0
2019-05-24,0.0,1.0
2019-05-28,0.0,1.0
2019-05-29,0.0,1.0
2019-05-30,0.0,1.0
2019-05-31,0.0,1.0
2019-06-03,0.0,1.0
2019-06-04,0.0,1.0
2019-06-05,0.0,1.0
2019-06-06,0.0,1.0
2019-06-07,0.0,1.0
2019-06-10,0.0,1.0
2019-06-11,0.0,1.0
2019-06-12,0.0,1.0
2019-06-13,0.0,1.0
2019-06-14,0.0,1.0
2019-06-17,0.0,1.0
2019-06-18,0.0,1.0
2019-06-19,0.0,1.0
2019-06-20,0.0,1.0
2019-06-21,0.0,1.0
2019-06-24,0.0,1.0
2019-06-25,0.0,1.0
2019-06-26,0.0,1.0
2019-06-27,0.0,1.0
2019-06-28,0.0,1.0
2019-07-01,0.0,1.0
2019-07-02,0.0,1.0
2019-07-03,0.0,1.0
2019-07-05,0.0,1.0
2019-07-08,0.0,1.0
2019-07-09,0.0,1.0
2019-07-10,0.0,1.0
2019-07-11,0.0,1.0
2019-07-12,0.0,1.0
2019-07-15,0.0,1.0
2019-07-16,0.0,1.0
2019-07-17,0.0,1.0
2019-07-18,0.0,1.0
2019-07-19,0.0,1.0
2019-07-22,0.0,1.0
2019-07-23,0.0,1.0
2019-07-24,0.0,1.0
2019-07-25,0.0,1.0
2019-07-26,0.0,1.0
2019-07-29,0.0,1.0
2019-07-30,0.0,1.0
2019-07-31,0.0,1.0
2019-08-01,0.0,1.0
2019-08-02,0.0,1.0
2019-08-05,0.07615813067183441,1.0761581306718344
2019-08-06,-0.027739623222421628,1.0463059095992522
2019-08-07,0.040407124768529146,1.0885841230344786
2019-08-08,0.002046436150864972,1.090811840937114
2019-08-09,-0.008646764326666112,1.081379848023794
2019-08-12,-0.01223256154903185,1.06815180247496
2019-08-13,-0.0427657511938907,1.0224714882530102
2019-08-14,-0.07747238810719048,0.9432581802865363
2019-08-15,0.025850521886593203,0.9676418965207415
2019-08-16,0.006089578552864294,0.9735344278606471
2019-08-19,0.0,0.9735344278606471
2019-08-20,0.0,0.9735344278606471
2019-08-21,0.0,0.9735344278606471
2019-08-22,0.0,0.9735344278606471
2019-08-23,0.0,0.9735344278606471
2019-08-26,0.0,0.9735344278606471
2019-08-27,0.0,0.9735344278606471
2019-08-28,0.0,0.9735344278606471
2019-08-29,0.0,0.9735344278606471
2019-08-30,0.0,0.9735344278606471
2019-09-03,0.0,0.9735344278606471
2019-09-04,0.0,0.9735344278606471
2019-09-05,0.0,0.9735344278606471
2019-09-06,0.0,0.9735344278606471
2019-09-09,0.0,0.9735344278606471
2019-09-10,0.0,0.9735344278606471
2019-09-11,0.0,0.9735344278606471
2019-09-12,0.0,0.9735344278606471
2019-09-13,0.0,0.9735344278606471
2019-09-16,0.0,0.9735344278606471
2019-09-17,0.0,0.9735344278606471
2019-09-18,0.0,0.9735344278606471
2019-09-19,0.0,0.9735344278606471
2019-09-20,0.0,0.9735344278606471
2019-09-23,0.0,0.9735344278606471
2019-09-24,0.0,0.9735344278606471
2019-09-25,0.0,0.9735344278606471
2019-09-26,0.0,0.9735344278606471
2019-09-27,0.0,0.9735344278606471
2019-09-30,0.0,0.9735344278606471
2019-10-01,0.0,0.9735344278606471
2019-10-02,0.0,0.9735344278606471
2019-10-03,0.0,0.9735344278606471
2019-10-04,0.0,0.9735344278606471
2019-10-07,0.0,0.9735344278606471
2019-10-08,0.0,0.9735344278606471
2019-10-09,0.0,0.9735344278606471
2019-10-10,0.0,0.9735344278606471
2019-10-11,0.0,0.9735344278606471
2019-10-14,0.0,0.9735344278606471
2019-10-15,0.0,0.9735344278606471
2019-10-16,0.0,0.9735344278606471
2019-10-17,0.0,0.9735344278606471
2019-10-18,-0.01936053867549442,0.9546862769181257
2019-10-21,0.007775606111206146,0.9621095413672149
2019-10-22,0.003082308042397397,0.9650750593442384
2019-10-23,-0.003089830296474916,0.9620931411875042
2019-10-24,0.09288240478824972,1.0514546657712807
2019-10-25,0.04464908179708438,1.0984011511492286
2019-10-28,-0.0013203964081576203,1.096950826214535
2019-10-29,-0.010020372207529854,1.0859589706425081
2019-10-30,-0.008904545832005561,1.0762889992167444
2019-10-31,-0.006672248440528078,1.069107731620163
2019-11-01,0.011666994543394427,1.0815810056912762
2019-11-04,0.019391320722029648,1.102554289859491
2019-11-05,-6.44042434271852e-05,1.1024832806846152
2019-11-06,0.0016619247271424942,1.1043155249100463
2019-11-07,0.008770878000156385,1.1140013416527108
2019-11-08,-0.011567235310359525,1.1011154259977576
2019-11-11,-0.003503066040456554,1.0972581459423218
2019-11-12,0.006611848954741845,1.1045130510676524
2019-11-13,-0.0027709441242778354,1.1014525071186083
2019-11-14,-0.0005721897691907951,1.1008222672627854
2019-11-15,-0.0006291078975955884,1.1001297312806013
2019-11-18,0.007274116360526068,1.1081322029576108
2019-11-19,-0.008410751223873063,1.098811978675372
2019-11-20,0.00981548968042567,1.1095973563127883
2019-11-21,0.009471522327549073,1.1201069324476942
2019-11-22,-0.023952909952663193,1.0932771119574207
2019-11-25,0.020999499246123834,1.116235383845775
2019-11-26,-0.011399188052340562,1.1035112067946404
2019-11-27,0.002842081822670021,1.106647475936584
2019-11-29,-0.020514104013333014,1.0839455945091285
2019-12-02,-0.001765338363272713,1.082032063767441
2019-12-03,-0.0003750792411676047,1.081626216002044
2019-12-04,0.013526557478442705,1.096256895182986
2019-12-05,-0.003744816616471339,1.0921516141459835
2019-12-06,0.015439602987037837,1.10901400147005
2019-12-09,0.002598743633778581,1.1118960445461417
2019-12-10,0.013226306211605067,1.1266023221067816
2019-12-11,0.006221629793157582,1.1336116246790418
2019-12-12,0.019301119208321005,1.1554915977829103
2019-12-13,0.0036984005959852144,1.1597650685968066
2019-12-16,0.02399744667480652,1.1875964689857619
2019-12-17,0.006496979070582183,1.1953122583890596
2019-12-18,0.014180863748399922,1.2122628186620672
2019-12-19,0.019461182206115254,1.2358548862577485
2019-12-20,0.002567045540218804,1.239027382031874
2019-12-23,0.010877209204506374,1.2525045420763465
2019-12-24,0.0077650165304022165,1.2622302605499731
2019-12-26,0.008365491349563953,1.2727894368757617
2019-12-27,-0.003450121746493136,1.2683981583608899
2019-12-30,-0.01876322618366314,1.2445989168246228
2019-12-31,0.003842860735363884,1.2493817371333644
2020-01-02,0.016691763383207398,1.2702361214648952
2020-01-03,0.014730920820771837,1.2889478691938787
2020-01-06,0.00673441604873648,1.2976281804101628
2020-01-07,0.023168036047760965,1.3276916768704958
2020-01-08,-0.0021176617745935766,1.324880074957941
2020-01-09,-0.009163006406115282,1.312740190343767
2020-01-10,0.006619526663691672,1.3214299090362474
2020-01-13,0.02672141117282889,1.3567403809716787
2020-01-14,0.02318666995122501,1.3881986723947684
2020-01-15,-0.015122703645927861,1.3672053552704717
2020-01-16,-0.0018100776759663044,1.364730607378435
2020-01-17,0.006370414619447539,1.373424507191286
2020-01-21,0.02556945239968944,1.4085422197524806
2020-01-22,0.014060135848302346,1.4283465147102699
2020-01-23,-0.005324854327778887,1.420740777589847
2020-01-24,-0.005893497453130539,1.4123676454355627
2020-01-27,-0.005557692477076121,1.4045181403976597
2020-01-28,0.03287654045715582,1.4506938378632526
2020-01-29,0.003523804350457701,1.4558057991202973
2020-01-30,0.04156968978909337,1.5163231945828912
2020-01-31,-0.01319777965069783,1.4963110951815441
2020-02-03,0.07000087255803714,1.6010541774625244
2020-02-04,0.05114646282400222,1.6829424354293248
2020-02-05,-0.03665518435670349,1.6212538701969434
2020-02-06,0.015144228762043946,1.6458065096885552
2020-02-07,-0.0016175442329339948,1.6431443448602832
2020-02-10,0.0168507804812796,1.6708326095145798
2020-02-11,0.019467613364915204,1.703359732754102
2020-02-12,0.006581190873396184,1.7145698682814137
2020-02-13,0.010190357202284082,1.7320419476874744
2020-02-14,0.02494515255069844,1.7752479982967475
2020-02-18,0.04766205964893048,1.8598599742832116
2020-02-19,0.026579723561908,1.909294538263517
2020-02-20,-0.013760893024706473,1.8830209403698162
2020-02-21,-0.012503423783101465,1.859476731559918
2020-02-24,-0.0576450737083611,1.7522870583101642
2020-02-25,-0.03789737614593173,1.6858799765457357
2020-02-26,-0.020270543360973038,1.6517062733797692
2020-02-27,-0.09190565974883574,1.4999051186135106
2020-02-28,0.026472776548510546,1.539611771662533
2020-03-02,0.06838489359752065,1.6448979588491657
2020-03-03,-0.017793736410758987,1.6156290781468081
2020-03-04,0.03769059233558336,1.6765230950967536
2020-03-05,-0.03636928926672095,1.6155491416888415
2020-03-06,-0.027797643701799546,1.570640682265427
2020-03-09,-0.10657857633639534,1.4032440344135533
2020-03-10,0.06372223585976888,1.4926618817432673
2020-03-11,0.0,1.4926618817432673
2020-03-12,0.0,1.4926618817432673
2020-03-13,0.0,1.4926618817432673
2020-03-16,0.0,1.4926618817432673
2020-03-17,0.0,1.4926618817432673
2020-03-18,0.0,1.4926618817432673
2020-03-19,0.0,1.4926618817432673
2020-03-20,0.0,1.4926618817432673
2020-03-23,0.0,1.4926618817432673
2020-03-24,0.0,1.4926618817432673
2020-03-25,0.0,1.4926618817432673
2020-03-26,0.0,1.4926618817432673
2020-03-27,0.0,1.4926618817432673
2020-03-30,0.0,1.4926618817432673
2020-03-31,0.0,1.4926618817432673
2020-04-01,0.0,1.4926618817432673
2020-04-02,0.0,1.4926618817432673
2020-04-03,-0.04524983825934459,1.4251191730184956
2020-04-06,0.10040561741979093,1.5682091434821994
2020-04-07,-0.034910544493789275,1.513462108403097
2020-04-08,0.015287837845828212,1.5365996717021686
2020-04-09,-0.009674231469810057,1.5217342508016878
2020-04-13,0.004079127620056244,1.5279415990145186
2020-04-14,0.02612564924623262,1.5678600652991
2020-04-15,0.00856804739800432,1.5812935646520208
2020-04-16,0.035212727558635915,1.6369752241343367
2020-04-17,0.001190590177252019,1.638924190756596
2020-04-20,-0.023594335741372374,1.6002548631452278
2020-04-21,-0.0470832699257843,1.524909631473712
2020-04-22,0.054089240722428183,1.607390835610443
2020-04-23,8.73600965403138e-05,1.60753125742902
2020-04-24,0.021206732466670705,1.6416217427371278
2020-04-27,0.04747667198407556,1.719560479738985
2020-04-28,-0.018293202722100332,1.6881042112902076
2020-04-29,0.06416644015760653,1.7964238491437643
2020-04-30,-0.02005612897052152,1.7603945407396162
2020-05-01,-0.037240259251993625,1.6948369916566788
2020-05-04,0.03905604946166733,1.7610306290322857
2020-05-05,0.009259458146497312,1.77733681843651
2020-05-06,0.020668166096924047,1.8140711110101344
2020-05-07,0.03139726906830579,1.87102798979156
2020-05-08,0.021524431843368236,1.911300804234863
2020-05-11,0.001200739793275174,1.9135957791674265
2020-05-12,0.014143543395816693,1.9406608041121325
2020-05-13,0.0020467621214417253,1.9446328751365558
2020-05-14,0.04690535444011773,2.035846569400741
2020-05-15,0.019581087886143017,2.07571065999888
2020-05-18,0.03390989424893376,2.1460977889708266
2020-05-19,0.005257598570743871,2.1573811096387963
2020-05-20,0.009326830827833282,2.177502638279561
2020-05-21,-0.010110230344958226,2.1554875850298
2020-05-22,0.00174965784593073,2.159258950794754
2020-05-26,-0.0016824311161353356,2.155626146348143
2020-05-27,-0.00652366011553393,2.1415635740332095
2020-05-28,0.01072798106480033,2.1645382275045035
2020-05-29,0.031427366842516236,2.2325639644249375
2020-06-01,0.03525043485410728,2.3112628150105263
2020-06-02,-0.01007505701961564,2.287976710361978
2020-06-03,0.005407181588305471,2.300348215904719
2020-06-04,-0.0007018218209204063,2.298733781331082
2020-06-05,0.021386889155155353,2.347896545909621
2020-06-08,0.006642879299781135,2.363493339272472
2020-06-09,0.009937396148167799,2.3869803088783788
2020-06-10,0.037425848320774446,2.476315071863136
2020-06-11,-0.06242927812846752,2.321720509508076
2020-06-12,-0.002064260434469445,2.3169278737204024
2020-06-15,0.02925083385810512,2.3846999460158105
2020-06-16,0.005715035363366455,2.3983285905383087
2020-06-17,0.0028266282605668436,2.40510777391045
2020-06-18,0.006571930480964078,2.420913974999816
2020-06-19,0.0029793500785705584,2.4281267252414445
2020-06-22,0.01926179409545259,2.474896802260711
2020-06-23,-0.0011884231590801597,2.4719555775845707
2020-06-24,-0.03870874372103722,2.376269282642061
2020-06-25,0.01678769956289236,2.4161613774395856
2020-06-26,-0.022617883988252076,2.361512919707762
2020-06-29,0.029347760534886042,2.4308180353753848
2020-06-30,0.030446706360761185,2.5048284383149015
2020-07-01,0.018092594012889318,2.5501472823212725
2020-07-02,0.036330707894585444,2.6427959383234576
2020-07-06,0.05263914690087305,2.781910461949897
2020-07-07,0.005461511921198924,2.7971038991015442
2020-07-08,0.008170673129683597,2.8199581207708664
2020-07-09,0.006059035928804669,2.8370443483423413
2020-07-10,0.04282997308547261,2.9585548814241363
2020-07-13,-0.027551340476022073,2.8770427285690228
2020-07-14,0.01674334956192558,2.92521406067805
2020-07-15,0.009137667232668104,2.951943693348848
2020-07-16,-0.016437814713973504,2.903420189871497
2020-07-17,0.0009310121775388811,2.906123309424779
2020-07-20,0.04348485444978959,3.0324956585482568
2020-07-21,-0.01152968377145262,2.9975319425668925
2020-07-22,0.006131970863654301,3.0159127211015857
2020-07-23,-0.023334493930558087,2.9455379240159476
2020-07-24,-0.014088939471163436,2.9040384184944705
2020-07-27,0.05647642848837742,3.068048136564074
2020-07-28,-0.020330212229064865,3.0056740668187394
2020-07-29,0.015647962681954397,3.052706742450437
2020-07-30,-0.0063263147137929965,3.0333943588687777
2020-07-31,-0.002549275738989748,3.025661400222925
2020-08-03,0.027745368374895163,3.1096094903498113
2020-08-04,0.008582309477033007,3.1362971213487123
2020-08-05,0.015990874374005204,3.1864492546157535
